date,1. open,2. high,3. low,4. close,5. volume,change,pct_change,prev_close,turnover
2023-08-09,250.87,251.1,241.9,242.19,101596324.0,-3.1500000000000057,-1.2839325018341952,245.34,24605613709.56
2023-08-08,247.45,250.92,245.01,249.7,96642183.0,7.509999999999991,3.100871216813239,242.19,24131553095.1
2023-08-07,251.45,253.6511,242.76,251.45,111097943.0,1.75,0.7008410092110617,249.7,27935577767.35
2023-08-04,260.97,264.77,253.11,253.86,99539907.0,2.410000000000025,0.9584410419566591,251.45,25269200791.02
2023-08-03,252.04,260.49,252.0,259.32,97829545.0,5.4599999999999795,2.1507917749940875,253.86,25369157609.399998
2023-08-02,255.57,259.52,250.49,254.11,101752865.0,-5.2099999999999795,-2.009100724973001,259.32,25856420525.15
2023-08-01,266.26,266.47,260.25,261.07,83645720.0,6.9599999999999795,2.7389713116366954,254.11,21837388120.399998
2023-07-31,267.48,269.08,263.78,267.43,84582172.0,6.360000000000014,2.4361282414678165,261.07,22619810257.96
2023-07-28,259.86,267.25,258.2312,266.44,111446026.0,-0.9900000000000091,-0.3701903301798648,267.43,29693679167.44
2023-07-27,268.31,269.13,255.3,255.71,103697263.0,-10.72999999999999,-4.027173097132564,266.44,26516427121.73
2023-07-26,263.25,268.04,261.75,264.35,95856177.0,8.640000000000015,3.3788275781158505,255.71,25339580389.95
2023-07-25,272.38,272.9,265.0,265.28,112757327.0,0.92999999999995,0.35180631738223056,264.35,29912263706.559998
2023-07-24,255.85,269.85,254.12,269.06,137005037.0,3.7800000000000296,1.4249095295536973,265.28,36862575255.22
2023-07-21,268.0,268.0,255.8,260.02,161796073.0,-9.04000000000002,-3.359845387645888,269.06,42070214901.46
2023-07-20,279.56,280.93,261.2,262.9,175158273.0,2.8799999999999955,1.1076071071455917,260.02,46049109971.7
2023-07-19,296.04,299.29,289.5201,291.26,142355353.0,28.360000000000014,10.78737162419172,262.9,41462420114.78
2023-07-18,290.15,295.26,286.01,293.34,112434713.0,2.079999999999984,0.7141385703495207,291.26,32981598711.42
2023-07-17,286.625,292.23,283.57,290.38,131569593.0,-2.9599999999999795,-1.0090679757278176,293.34,38205178415.34
2023-07-14,277.01,285.3,276.31,281.38,120062369.0,-9.0,-3.0993870101246657,290.38,33783149389.22
2023-07-13,274.59,279.45,270.6,277.9,112681458.0,-3.480000000000018,-1.236761674603748,281.38,31314177178.199997
2023-07-12,276.325,276.52,271.46,271.99,95672139.0,-5.909999999999968,-2.126664267722189,277.9,26021865086.61
2023-07-11,268.65,270.9,266.37,269.79,91972358.0,-2.1999999999999886,-0.8088532666642112,271.99,24813222464.820004
2023-07-10,276.47,277.52,265.1,269.61,119425405.0,-0.18000000000000682,-0.06671855887913081,269.79,32198283442.050003
2023-07-07,278.43,280.78,273.77,274.43,113879174.0,4.819999999999993,1.7877675160416828,269.61,31251861720.82
2023-07-06,278.09,279.97,272.88,276.54,120707419.0,2.1100000000000136,0.7688663775826221,274.43,33380429650.260002
2023-07-05,278.82,283.85,277.6,282.48,131530862.0,5.939999999999998,2.1479713603818507,276.54,37154837897.76
2023-07-03,276.49,284.25,275.11,279.82,119685891.0,-2.660000000000025,-0.9416595865194055,282.48,33490506019.62
2023-06-30,260.6,264.45,259.89,261.77,112620784.0,-18.05000000000001,-6.4505753698806405,279.82,29480742627.679996
2023-06-29,258.03,260.74,253.61,257.5,131283360.0,-4.269999999999982,-1.6312029644344195,261.77,33805465200.0
2023-06-28,249.7,259.88,248.89,256.24,159770797.0,-1.259999999999991,-0.4893203883495123,257.5,40939669023.28
2023-06-27,243.24,250.3899,240.85,250.21,164968214.0,-6.030000000000001,-2.35326256634405,256.24,41276696824.94
2023-06-26,250.065,258.37,240.7,241.05,179990552.0,-9.159999999999997,-3.660924823148559,250.21,43386722559.6
2023-06-23,259.29,262.45,252.8,256.6,177460803.0,15.550000000000011,6.450943787595942,241.05,45536442049.8
2023-06-22,250.77,265.0,248.25,264.61,166875944.0,8.009999999999991,3.121590023382703,256.6,44157043541.840004
2023-06-21,275.13,276.99,257.78,259.46,211797109.0,-5.150000000000034,-1.9462605343713468,264.61,54952877901.14
2023-06-20,261.5,274.75,261.12,274.45,165611217.0,14.990000000000009,5.777383797117097,259.46,45451998505.65
2023-06-16,258.92,263.6,257.2091,260.54,167915649.0,-13.909999999999968,-5.068318455091991,274.45,43748743190.46001
2023-06-15,248.4,258.95,247.29,255.9,160171238.0,-4.640000000000015,-1.7809165579181774,260.54,40987819804.200005
2023-06-14,260.17,261.57,250.5,256.79,170575536.0,0.8900000000000148,0.34779210629152235,255.9,43802091889.44
2023-06-13,253.51,259.68,251.34,258.71,162384343.0,1.919999999999959,0.7476926671599271,256.79,42010453377.53
2023-06-12,247.94,250.97,244.59,249.83,150740523.0,-8.879999999999967,-3.432414672799644,258.71,37659504861.090004
2023-06-09,249.07,252.42,242.02,244.4,200242371.0,-5.430000000000007,-2.173477965016213,249.83,48939235472.4
2023-06-08,224.22,235.23,223.01,234.86,164489739.0,-9.539999999999992,-3.903436988543363,244.4,38632060101.54
2023-06-07,228.0,230.8296,223.2,224.57,185710777.0,-10.29000000000002,-4.381333560418977,234.86,41705069190.89
2023-06-06,216.14,221.91,212.53,221.31,146911576.0,-3.259999999999991,-1.451663178518947,224.57,32513000884.56
2023-06-05,217.8,221.29,214.52,217.61,151143052.0,-3.6999999999999886,-1.6718629976051669,221.31,32890239545.72
2023-06-02,210.15,217.25,209.752,213.97,164398372.0,-3.640000000000015,-1.6727172464500728,217.61,35176319656.84
2023-06-01,202.59,209.8,199.37,207.52,148029931.0,-6.449999999999989,-3.0144412768145057,213.97,30719171281.120003
2023-05-31,199.78,203.95,195.12,203.93,149356274.0,-3.5900000000000034,-1.7299537393986153,207.52,30458224956.82
2023-05-30,200.1,204.48,197.53,201.16,128818746.0,-2.7700000000000102,-1.3583092237532512,203.93,25913178945.36
2023-05-26,184.62,198.6,184.53,193.17,162061496.0,-7.990000000000009,-3.971962616822433,201.16,31305419182.32
2023-05-25,186.54,186.78,180.58,184.47,96870719.0,-8.699999999999989,-4.503804938655065,193.17,17869741533.93
2023-05-24,182.23,184.22,178.22,182.9,137605054.0,-1.5699999999999932,-0.8510868975985186,184.47,25167964376.600002
2023-05-23,186.2,192.96,185.26,185.77,156952130.0,2.8700000000000045,1.5691634773099983,182.9,29156997190.100002
2023-05-22,180.7,189.32,180.11,188.87,132001430.0,3.0999999999999943,1.6687301501857155,185.77,24931110084.100002
2023-05-19,177.17,181.95,176.31,180.14,136196668.0,-8.730000000000018,-4.622226928575223,188.87,24534467773.519997
2023-05-18,174.22,177.06,172.45,176.89,109520332.0,-3.25,-1.8041523259686887,180.14,19373051527.48
2023-05-17,168.41,174.5,167.185,173.86,125473558.0,-3.0299999999999727,-1.7129289388885582,176.89,21814832793.88
2023-05-16,165.65,169.5184,164.35,166.52,98288792.0,-7.340000000000003,-4.2217876452318,173.86,16367049643.84
2023-05-15,167.655,169.76,164.5499,166.35,105592510.0,-0.17000000000001592,-0.10208983905838354,166.52,17565314038.5
2023-05-12,176.07,177.38,167.23,167.98,157849625.0,1.6299999999999955,0.9798617373008689,166.35,26515580007.5
2023-05-11,168.7,173.57,166.79,172.08,103889930.0,4.100000000000023,2.440766757947399,167.98,17877379154.4
2023-05-10,172.55,174.43,166.68,168.54,119840693.0,-3.5400000000000205,-2.0571827057182857,172.08,20197950398.219997
2023-05-09,168.95,169.82,166.56,169.15,88965043.0,0.6100000000000136,0.361931885605804,168.54,15048437023.45
